Short-eared owl|Asio flammeus
Marsh owl|Asio capensis
Fearful owl|Asio solomonensis
Maned owl|Jubula lettii
Snowy owl|Bubo scandiacus
Great horned owl|Bubo virginianus
Lesser horned owl|Bubo magellanicus
Eurasian eagle-owl|Bubo bubo
Indian eagle-owl|Bubo bengalensis
Pharaoh eagle-owl|Bubo ascalaphus
Cape eagle-owl|Bubo capensis
Arabian eagle-owl|Bubo milesi
Greyish eagle-owl|Bubo cinerascens
Spotted eagle-owl|Bubo africanus
Fraser's eagle-owl|Ketupa poensis
Akun eagle-owl|Ketupa leucosticta
Verreaux's eagle-owl|Ketupa lactea
Shelley's eagle-owl|Ketupa shelleyi
Blakiston's fish owl|Ketupa blakistoni
Brown fish owl|Ketupa zeylonensis
Tawny fish owl|Ketupa flavipes
Buffy fish owl|Ketupa ketupu
Barred eagle-owl|Ketupa sumatrana
Spot-bellied eagle-owl|Ketupa nipalensis
Dusky eagle-owl|Ketupa coromanda
Philippine eagle-owl|Ketupa philippensis
Pel's fishing owl|Scotopelia peli
Rufous fishing owl|Scotopelia ussheri
Vermiculated fishing owl|Scotopelia bouvieri
Flammulated owl|Psiloscops flammeolus
Puerto Rican owl|Gymnasio nudipes
Whiskered screech owl|Megascops trichopsis
Bare-shanked screech owl|Megascops clarkii
White-throated screech owl|Megascops albogularis
Tropical screech owl|Megascops choliba
Bearded screech owl|Megascops barbarus
Pacific screech owl|Megascops cooperi
Western screech owl|Megascops kennicottii
Eastern screech owl|Megascops asio
Balsas screech owl|Megascops seductus
Middle American screech owl|Megascops guatemalae
Koepcke's screech owl|Megascops koepckeae
Rufescent screech owl|Megascops ingens
Cinnamon screech owl|Megascops petersoni
Cloud-forest screech owl|Megascops marshalli
Yungas screech owl|Megascops hoyi
Choco screech owl|Megascops centralis
Foothill screech owl|Megascops roraimae
Long-tufted screech owl|Megascops sanctaecatarinae
Santa Marta screech owl|Megascops gilesi
West Peruvian screech owl|Megascops roboratus
Tawny-bellied screech owl|Megascops watsonii
Black-capped screech owl|Megascops atricapilla
Spectacled owl|Pulsatrix perspicillata
Tawny-browed owl|Pulsatrix koeniswaldiana
Band-bellied owl|Pulsatrix melanota
Crested owl|Lophostrix cristata
Spotted wood owl|Strix seloputo
Mottled wood owl|Strix ocellata
Brown wood owl|Strix leptogrammica
Tawny owl|Strix aluco
Maghreb owl|Strix mauritanica
Himalayan owl|Strix nivicolum
Desert owl|Strix hadorami
Omani owl|Strix butleri
Spotted owl|Strix occidentalis
Barred owl|Strix varia
Cinereous owl|Strix sartorii
Fulvous owl|Strix fulvescens
Rusty-barred owl|Strix hylophila
Chaco owl|Strix chacoensis
Rufous-legged owl|Strix rufipes
Ural owl|Strix uralensis
Great grey owl|Strix nebulosa
African wood owl|Strix woodfordii
Mottled owl|Strix virgata
Black-and-white owl|Strix nigrolineata
Black-banded owl|Strix huhula
Rufous-banded owl|Strix albitarsis
